DX extract;DX full;Name;Original Film or informations;Manufacturer;reliability;Country;Beginning year;End year;Distributor;Ava;Pic
0259;002593;3M ScotchChrome 800/3200 (Improved);EU version of ScotchChrome 400;3M / Ferrania;;;1988;2001;;0;ScotchChrome800-3200.jpg
0295;002950;3M ScotchColor AT100;;3M / Ferrania;;;;;;0;
0297;002970;3M ScotchColor AT200;;3M / Ferrania;;;;;;0;
0296;002960;3M ScotchColor AT400;;3M / Ferrania;;;;;;0;
0296;002960;3M ScotchColor HR2 400;;3M / Ferrania;;;;;;0;
;;3M ScotchColor Slide 100;Identical to Scotch Chrome;3M / Ferrania;;;80’s;;;0;ScotchColorSlide100.jpg
;;3M ScotchColor Slide 1000;Identical to Scotch Chrome;3M / Ferrania;;;80’s;;;0;
;;3M ScotchColor Slide 400;Identical to Scotch Chrome;3M / Ferrania;;;80’s;;;0;
;;3M Ultra Detail Plus Veterinary X-ray Film #xray;Green sensitive;Kodak ?;;Made in USA, packaged in Mexico;;;3M United States;1;
;;45Color Iso 100;;;;Made in Japan;;;;0;45Color100.jpg
1701;417010;45Color Iso 400;;;;Made in Japan;;;;0;45Color400.jpg
;;55 DPE Station SHR400;;;;;;;55 DPE Station lab, Japan ?;0;
;;55 Station Color Film ISO 100;;;;;;;55 Station labs in Japan;0;
;;55 Station Color Film ISO 200;;;;;;;55 Station labs in Japan;0;
;;55 Station Color Film ISO 400;;;;;;;55 Station labs in Japan;0;
;;A Girl Has Film – LET’S GO TO SPACE  – ISO 200;pre-exposed films with planets…;;;;2022 ?;;A Girl Has Film, Thailand;1;
;;A Girl Has Film – LONG TIME NO SEA – ISO 200;pre-exposed films with fishes and bubbles…;;;;2022 ?;;A Girl Has Film, Thailand;1;
;;A Girl Has Film – PUPPY LOVE – ISO 200;pre-exposed films with funny things…;;;;2022 ?;;A Girl Has Film, Thailand;1;
;;A Girl Has Film – TETRIS – ISO 200;pre-exposed films with Tetris blocks…;;;;2022 ?;;A Girl Has Film, Thailand;1;
;;A Girl Has Film – TOMATO – ISO 200;pre-exposed films with tomatoes…;;;;;;;1;
;;A Panatomic-X film, Estar thin Base, B83 - Code : 3412;kodak Aerecon II Aerographic;;;;;~ 1996;;0;
0453;004533;ACME Film for true colour prints SUPER VX 100 #SVX100 superVX100;Konica VX100 Super;;4;;;;;0;
0462;004623;ACME Film for true colour prints SUPER VX 400 #SVX400 superVX400;Konica VX400 Super;;4;;;;;0;
;;ACME Film for true colour prints SUPER XG 100 #SXG100 Superxg100;Konica Super XG 100 ?;;2;;;;;0;
;;Activ Chrome CC100;;;;;;;;0;ActivChromeCC100.jpg
;;ADA NP 22 Supper Pan NP22;Orwo NP22;VEB Filmfabrik Wolfen;4;;;;;0;
;;Adina;Telcolor;Tellko, CH;3;;~1962;1962 ?;Draser / Kaufhof;0;
;;Adina Pan Film 17/10 DIN / 40 ASA;;;;;;;Helmut Horten GMBH, Dusseldorf;0;AdinaPan.jpg
;;Adox CHM 100 (non pro!) universal #CHM100;Kentmere 100;Kentmere;4;Made in UK;2004;~2015 ???;Adox;0;AdoxCHM100.jpg
;;Adox CHM 125 Pro #CHM125;FP4+;Ilford;4;Made in UK;2006 ?;;Adox;0;AdoxCHM125Pro.jpg
;;Adox CHM 400 (non pro!) universal #CHM400;Kentmere 400;Kentmere;4;Made in UK;2004;;Adox;0;AdoxCHM400Univ.jpg
;;Adox CHM 400 Pro #CHM400;HP5+;Ilford;4;Made in UK;2006 ?;~2015 ???;Adox;0;AdoxCHM400pro.jpg
;;Adox CHS 100 Art Series #CHS100I;Efke 100;Efke;4;Made in Coatia;~1990;2012;Adox;0;AdoxCHS100.jpg
;;Adox CHS 100 II (35 & 120) #CHS100II;Derivated from Efke 100 coated by InovisCoat. Discontinued in 35 & 120, but will be coated in new ADOX facility in Switzerland (2019~2020?);InovisCoat;4;Made in Germany;2013;2016;Adox;1;AdoxCHS100II.jpg
;;Adox CHS 100 II (Sheet) #CHS100II;Derivated from Efke 100, coated in new ADOX facility in Switzerland (only sheet, no 120 or 35);Adox;4;Made in Switzerland;Dec. 2018;;Adox;2;AdoxCHSIIsheet2018.jpg
;;Adox CHS 25 Art Series #CHS25;Efke 25;Efke;4;Made in Coatia;~1990;2012;Adox;0;AdoxCHS25.jpg
;;Adox CHS 50 Art Series #CHS50;Efke 50;Efke;4;Made in Coatia;~1990;2012;Adox;0;AdoxCHS50.jpg
;;Adox CHS Ortho 25;;Fotokemika/Samobor;2;;1990;2012;Adox;0;
;;Adox Classic-Pan 200 #classicpan200;Forte Classic-pan 400;Forte;;;90’s ?;~2006 ?;Adox;0;
;;Adox Classic-Pan 400 #classicpan400;Forte Classic-pan 400;Forte;;;90’s ?;~2006 ?;Adox;0;
;;Adox CMS 20 #CMS20;Agfa-Gaevert Copex HDP (high definition pan) / Ortho micro film. Need special devloper;Agfa-Gevaert;4;Made in Belgium;~2006 ?;~2015 ?;Adox;0;AdoxCMS20.jpg
;;Adox CMS 20 II PRO #CMS20II;Coated by Inoviscoat ?;;1;Made in Germany;~2015 ?;;Adox;2;AdoxCMS20II.jpg
;;Adox Color C15 Reversal;;;;;1958;1960;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Color C18 Reversal;;;;;1960;1964;Dr C Schleussner Fotowerke GMBH;0;AdoxC18.jpg
;;Adox Color CNT Positive;Agfa CNT ???;;0;;1955;1958;Dr C Schleussner Fotowerke GMBH;0;AdoxCNTpositiv.jpg
;;Adox Color Implosion C-IMPL;;Adox (and InovisCoat for coating?);;Made in Germany;2012;middle of 2017;;0;AdoxColorImplosion.jpg
;;Adox Color KB-CNT Negative;Agfa CNT ???;;0;;50’s ?;60’s;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Color Mission 200;Limited edition for investing into the future of film research and production. Has been co-researched with and coated a few years ago for ADOX by a company, which went bankrupt shortly after the first run.;;;;2022;2022;;1;AdoxColorMissionCan.jpg
;;Adox Color NC16 Positive;;;;;1958;1958;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Color NC17 Positive;;;;;1958;1964;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Color R-CNT Negative;Agfa CNT ???;;0;;50’s ?;60’s;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Color T;;;;;1955 ?;1964 ?;Dr C Schleussner Fotowerke GMBH;0;AdoxColor.jpg
;;Adox Creativ Internegativfilm #printfilm;Similar to ADOX Print Film ?;;;;;;Adox;0;
;;Adox Display Film;;;;;;;Adox;0;
;;Adox HR-50 Pro High Resolution Film – iso 50 HR50;"Same film as Adox IR-HR with ""speed boost"" : Agfa-Gevaert Aviphot 80… <i>""ADOX HR-50 is based on an emulsion commonly available for technical purposes, featuring an ultrafine grain and superpanchromatical sensitization[...]The film ́s speed is enhanced to 50 ASA using ADOX ́s new SPEED BOOST-technology.""</i>";;4;;2018 Sept.;;Adox;2;AdoxHR50.jpg
;;Adox IR-HR Pro iso 50 #infrared;"Same film as Adox HR-50 (Agfa-Gevaert Aviphot 80) without ""speed boost"" technology. ";;4;;2018 Sept.;;Adox;2;AdoxIR-HR.jpg
;;ADOX KB14 / R14 / KB25 / R25 (ASA 16 then 25);Adox was sold to Fotokemika in 1970s who continued to produce the films under the Efke brand : Efke 25;Adox Fotowerke;;Made in Germany;1952;1973;;0;AdoxKB14.jpg
;;ADOX KB17 / R17 / KB50 / R50 (ASA 35 then 50);Adox was sold to Fotokemika in 1970s who continued to produce the films under the Efke brand : Efke 50;Adox Fotowerke;;Made in Germany;1952;1973;;0;AdoxKB17.jpg
;;ADOX KB21 / R21 / PL21 / KB100 / R100 / PL100 / PL100M (ASA 80 then 100);Adox was sold to Fotokemika in 1970s who continued to produce the films under the Efke brand : Efke 100;Adox Fotowerke;;Made in Germany;1952;1973;;0;AdoxKB21.jpg
;;ADOX KB21 Super Speed Pan – Leitz;Imported version of KB-21 for US;Dr C Shleussner Fotowerke GmbH;;Made in Germany;1952;1973;Leitz Inc. - New York;0;AdoxKB21us.jpg
;;ADOX KB27 / R27;Adox was sold to Fotokemika in 1970s who continued to produce the films under the Efke brand : Efke 100;Adox Fotowerke;;Made in Germany;60's;;;0;
;;Adox Negativ Color 40 ASA;;;2;;1956 ?;;Adox;0;
;;Adox Olympan;;;;;20-30's ?;;Dr C Schleussner Fotowerke GMBH;0;AdoxOlympan.jpg
;;ADOX Ortho 25;Efke Ortho 25 ?;;1;;;;Adox;0;
;;ADOX Ortho CT;High resolution technical film with a normal grade;;;;;~2009 ?;Adox;0;
;;Adox Pan 25;Modified NP15 OrWo emulsion, coated by Forte ? Same film as first version of Rollei Pan 25;;1;;~2008;;Adox;0;AdoxPan25.jpg
;;Adox Pan 400;Improved APX 400;;;;2010;2010;Adox;0;
;;ADOX Pan R14;;;;;~ 1954 ?;;;0;AdoxPanR14.jpg
;;ADOX Pan R18O Orthochromatic;;;;;~1955 ?;;;0;
;;ADOX Pan R18P Panchromatic;;;;;~1955 ?;;;0;AdoxPanR18.jpg
;;ADOX Pan R21P Panchromatic;;;;;50's ?;;;0;AdoxPanR21.jpg
;;ADOX Pan R21PM Panchromatic;Mate film;;;;50's ?;;;0;AdoxPanR21.jpg
;;ADOX Pan R23;;;;;~1956 ?;;;0;AdoxPanR23.jpg
;;ADOX PL21PM;Matte sheet version of R21;Adox ?;;;50’s ?;;Adox;0;
;;ADOX PL21PT;Sheet version of R21;Adox ?;;;50’s ?;;Adox;0;
;;ADOX PL25;Efke PL25, sheet version of KB25;Efke;4;;;;Adox;0;
;;ADOX Print Film #printfilm;Maco Genius;Maco;;;;;Adox;0;
;;Adox Scala 160;Adox Silvermax, but rebranded to show its suitability for reversal process.;InovisCoat;4;;2016;;Adox;2;AdoxScala160.jpg
;;Adox Scala 50;"Reversal films ""based on ADOX HR-50 with SPEED BOOST technology""";;;;2019;;Adox;2;
;;Adox Schleussner Tempo-Gold #tempogold;;;;;20-30's ?;;Dr C Schleussner Fotowerke GMBH;0;
;;Adox Schleussner Tempo-Pan #tempopan;;;;;~1940 ?;;Dr C Schleussner Fotowerke GMBH;0;AdoxTempopan.jpg
;;Adox Schleussner Tempo-Rot 23° #temporot;;;;;20-30's ?;;Dr C Schleussner Fotowerke GMBH;0;AdoxTempoRot.jpg
;;Adox Scopix G ;Microfilm, Agfa Scopix ? Green sensitive;;;;;;Adox;0;
;;Adox Silvermax 100;Derivated from Agfa APX 100 formula;InovisCoat;4;;2012;;Adox;2;AdoxSilvermax100.jpg
;;Adox Tageslichtfullung;;;;;;;Adox;0;
;;Adox TEO for line and halftone / für Strich und Raster;Security film for line and screen;;;Made in Germany;;;Dr C Schleussner Fotowerke GMBH;0;AdoxTeo.jpg
;;ADOX UKB17;;;;;;;;0;
;;ADOX-17F Pan;;;;;;;Dr C Schleussner Fotowerke GMBH;0;Adox17F.jpg
;;ADOX-21 Schleussner (21°/10 DIN);;;;;~1939;;Dr C Schleussner Fotowerke GMBH;0;Adox21.jpg
;;AERMEI Medical X-ray Film #xray;Collaboration between Wuxi Aermei Film & Agfa (then Kodak, then Agfa again !).;Wuxi Aermei Film;;Made in China;90’s?;;Wuxi Aermei Film;2;
;;AFDRUK Alicia 400;Kodak Vision 3 B&W film (?);;;;;;AFDRUK PHOTO LAB, Indonesia;1;
;;AFDRUK Demi 200;Kodak Vision 3 film, daylight;;;;;;AFDRUK PHOTO LAB, Indonesia;1;
;;AFDRUK Marilyn 100;Kodak Vision 3 film, tungsten;;;;;;AFDRUK PHOTO LAB, Indonesia;1;
;;AFG N200 Neutral 200 Professional Color Film;;;;;;;;0;AFGn200.jpg
;;Agfa / Ansco AC Pan Aerial film;;Agfa Ansco Corp.;;Made In USA;;;;0;
;;Agfa / Ansco Commercial Ortho Film;Sheet;Agfa / Ansco then Ansco Division of General Aniline and Film Corporation (GAF);;;30’s ?;;;0;
;;Agfa / Ansco Plenachrome ;;Agfa Ansco Corp.;;Made In USA;~1935;;;0;AgfaPlenachrome.jpg
;;Agfa / Ansco SS Panchromatic Aerial Film – SS Pan Aero (Nitrate base);Sheet;Agfa-Ansco Corporation;;Made In USA;30’s ?;1939;;0;
;;Agfa / Ansco SS Panchromatic Aerial Film – SS Pan Aero (safety base);Sheet;Agfa-Ansco Corporation;;Made In USA;1939 ?;;;0;
;;Agfa / Ansco Standard Film;;Agfa Ansco Corp.;;Made In USA;;;;0;
;;Agfa / Ansco Super Panchromatic Negative ;;Agfa-Ansco;;;1934;;;0;
;;Agfa / Ansco Super Plenachrome ;;Agfa Ansco Corp.;;Made In USA;;;;0;
;;Agfa / Ansco SuperPan;;Agfa Ansco;;;30’s ?;;;0;
;;Agfa / Ansco SuperPan Press;;Agfa Ansco;;;30’s ?;;;0;
;;Agfa / Ansco Triple-S Ortho #TripleSSS;Sheet;Agfa-Ansco Corporation;;Made In USA;30’s ?;1939;;0;
;;Agfa / Ansco Triple-S Pan #TripleSSS;Sheet;Agfa-Ansco Corporation;;Made In USA;30’s ?;1939;;0;
;;Agfa / Ansco Triple-S Pan Aerial Film (Nitrate base) #TripleSSS;Sheet, aerial version of Triple S pan;Agfa-Ansco Corporation;;Made In USA;30’s ?;1939;;0;
;;Agfa / Ansco Triple-S Pan Aerial Film (safety base) #TripleSSS;Sheet, aerial version of Triple S pan;Agfa-Ansco Corporation;;Made In USA;30’s ?;1939;;0;
;;Agfa 70mm holographic film High Resolution 10E56;;;;;1971 ?;;;0;
;;Agfa Agepan FF Dokumentenfilm;Microfilm;Agfa Gaveart;;Made in Germany;;;;0;AgfaAgepanFF.jpg
;;Agfa Agepe FF Documentenfilm;Microfilm. 120, 35 mm & Minox format;Agfa Gaveart;;Made in Germany;;;;0;AgfaAgepeFF.jpg
;;AGFA Agfachrome (First version);ASA 50 ?;Agfa AG;;;1962;~1974 ??;;0;
;;AGFA Agfachrome 100;Is Agfachrome CT21 for US market.;Agfa-Gevaert;;Made in Germany;1974;1983;;0;Agfachrome100-1983.jpg
;;AGFA Agfachrome 100 Professional;Is Agfachrome CT21 for US market. Agfachrome 100 with narrower production tolerances;Agfa-Gevaert;;Made in Germany;1974;1984;;0;AgfaChrome100.jpg
;;AGFA Agfachrome 200;;Agfa-Gevaert;;Made in Germany;1983;1984;;0;
;;AGFA Agfachrome 200 Professional;US market ?;Agfa-Gevaert;;Made in Germany;1983;1985;;0;
;;AGFA Agfachrome 25S #S25;US market only;Agfa-Gevaert;;Made in Germany;~1970;~1985 ?;;0;
;;AGFA Agfachrome 50L Professional Artificial Light (Blue square on box) #L50;;Agfa-Gevaert;;Made in Germany;1968;End of 70’s ?;;0;Agfachrome50Lbluesq.jpg
;;AGFA Agfachrome 50L Professional Artificial Light (new box) #L50;;Agfa-Gevaert;;Made in Germany;End of 70’s ?;1983;;0;Agfachrome50L.jpg
;;AGFA Agfachrome 50S / 50L Professional #S50 L50;Agfa process 41;Agfa-Gevaert;;Made in Germany;1968;1984;;0;Agfachrome50S.jpg
;;AGFA Agfachrome 64;Agfa process 41;Agfa-Gevaert;;Made in Germany;1974;1983;;0;Agfachrome64.jpg
;;AGFA Agfachrome 64 (Peruchrome C19?);US market only. Agfa process 41;Agfa-Gevaert;;Made in Germany;1983;1984;;0;AgfaChrome64-1983.jpg
;;AGFA Agfachrome 64 Professional;Agfachrome 64 with narrower production tolerances. Agfa process 41;Agfa-Gevaert;;Made in Germany;1974;1983;;0;Agfachrome64.jpg
;;AGFA Agfachrome CK;CK17 for North America ?;Agfa AG;;;1957;1962;;0;
;;AGFA Agfachrome CK16;;Agfa AG;;;~1960;;;0;AgfaCK17.jpg
;;AGFA Agfachrome CK17;;Agfa AG;;;1957;1960;;0;AgfaCK17.jpg
;;AGFA Agfachrome CK17S ASA 40;;Agfa AG;;;;;;0;AgfachromeCK17S.jpg
;;AGFA Agfachrome CK20;;Agfa AG;;;;;;0;
;;AGFA Agfachrome CRD Duplicating Film;For producing colour transparency duplicates with the best match to the original;AGFA;;Made in Germany;;;;0;
0057;000574;AGFA AGFACHROME CT Precisa 100 Ctprecisa EXCL;Ctx with improved color fidelity;;;Made in Germany;1998;2005;;0;AgfaCT100.jpg
0118;001180;AGFA AGFACHROME CT Precisa 200 Ctprecisa;Ctx with improved color fidelity;;;Made in Germany;1998;2005;;0;AgfaCT200.jpg
0051;000514;AGFA Agfachrome CT100 / 100S;Replaced CT 64;;;Made in Germany;1985;1986;;0;AgfaChromeCT100red.jpg
0053;000534;AGFA Agfachrome CT100 / 100S (gradation improved) EXCL;;;;Made in Germany;1986;1988;;0;AgfaChromeCT100EXCL.jpg
0053;;AGFA Agfachrome CT100 / 100S (shades improved);;;;Made in Germany;1988;1992;;0;AgfaCT100First.jpg
0053;;AGFA Agfachrome CT100 Professional;US Market only;;;Made in Germany;1984~1986;~1988 ?;;0;AgfachhrromeCT100pro.jpg
0054;000540;AGFA AGFACHROME CT100i;Improved CT 100 (gradation and hue values);Agfa-Gevaert AG;;Made in Germany;1992;1994;;0;AgfachromeCT100i.jpg
;;AGFA Agfachrome CT13;;Agfa AG;;Made in Germany;;;;0;
;;AGFA Agfachrome CT13 Type S CT13S;;Agfa AG;;Made in Germany;1963;;;0;AgfachromeCT13S.jpg
;;AGFA Agfachrome CT18;Was Agfacolor before 1978;Agfa-Gevaert;;Made in Germany;1978;1984;;0;AgfaCT18.jpg
0117;;AGFA Agfachrome CT200 / 200S;Improved Agfachrome 200;;;Made in Germany;1984;1992;;0;AgfaChromeCT200.jpg
0117;001170;AGFA Agfachrome CT200 improved;Improved color reproduction;;;Made in Germany;1992;1995;;0;AgfachromeCT200new.jpg
;;AGFA Agfachrome CT21;Was Agfacolor before 1978;Agfa-Gevaert;;Made in Germany;1975;1984;;0;AgfachromeCT21.jpg
;;AGFA Agfachrome CT50;US Market only;;;Made in Germany;1984;1986;;0;AgfaCT50.jpg
;;AGFA Agfachrome CT64 / 64S;;;;Made in Germany;1984;1985;;0;Agfachrome64s.jpg
0057;000570;AGFA AGFACHROME CTX100;;;;Made in Germany;1994;1998;;0;AgfachromeCTX100.jpg
0118;001180;AGFA AGFACHROME CTX200;;;;Made in Germany;1994;1998;;0;AgfachromeCTX200.jpg
;;AGFA Agfachrome Professional Type F;;Agfa Gaveart;;;~1971;;;0;
;;AGFA Agfachrome Professional Type L;;Agfa Gaveart;;;~1971;;;0;
;;AGFA Agfachrome R100S;Fuji emulsion;Fujifilm;;;1981;1984;Agfa;0;
0054;000540;AGFA AGFACHROME RS 100 Plus Professional #100RS RS100+ RS100plus;Agfachrome 100RS with Gradation and shades improved;Agfa-Gevaert AG;;Made in Germany;1992;1995;;0;AgfaChrome100RSplus.jpg
;;AGFA AGFACHROME RS 100 Professional (improved) silver box #100RS RS100;;Agfa-Gevaert AG;;Made in Germany;1989;1992;;0;AgfaChrome100RS.jpg
;;AGFA AGFACHROME RS 100 Professional #100RS RS100;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;AgfaChrome100RSfirst.jpg
0096;000960;AGFA AGFACHROME RS 1000 Professional (new box, same emulsion) #1000RS RS1000;All RS line upgraded, except 1000RS…;Agfa-Gevaert AG;;Made in Germany;1989;1995;;0;Agfachrome1000RS.jpg
0096;000960;AGFA AGFACHROME RS 1000 Professional #1000RS RS1000;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;Agfachrome1000RSfirst.jpg
0117;001170;AGFA AGFACHROME RS 200 Plus #200RS RS200plus RS200+;Agfachrome 200RS with Gradation and shades improved;Agfa-Gevaert AG;;Made in Germany;1992;1995;;0;
0117;001170;AGFA AGFACHROME RS 200 Professional (improved) #200RS RS200;;Agfa-Gevaert AG;;Made in Germany;1989;1992;;0;Agfachrome200RSsilver.jpg
0117;001170;AGFA AGFACHROME RS 200 Professional #200RS RS200;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;Agfachrome200RS.jpg
0086;000860;AGFA AGFACHROME RS 50 Plus Professional #50RS RS50+ RS50plus;Agfachrome 50RS with Gradation and shades improved;Agfa-Gevaert AG;;Made in Germany;1992;1995;;0;AgfaRS50plus.jpg
;;AGFA AGFACHROME RS 50 Professional (improved) silver box #50RS RS50;;Agfa-Gevaert AG;;Made in Germany;1989;1992;;0;AgfaChrome50RSsilver.jpg
;;AGFA AGFACHROME RS 50 Professional #50RS RS50;;Agfa-Gevaert AG;;Made in Germany;1984;1989;;0;AgfaChrome50RS.jpg
0057;000570;AGFA AGFACHROME RSX II 100 Professional #RSX100 RSXII100;Improved RSX (Gradation and maximum density);Agfa Gevaert AG;;Made in Germany;1998;2005;;0;AgfaRSXII100.jpg
0118;001180;AGFA AGFACHROME RSX II 200 Professional #RSX200 RSXII200;Improved RSX (Gradation and maximum density);Agfa Gevaert AG;;Made in Germany;1998;2005;;0;AgfaRSXII200.jpg
0089;000890;AGFA AGFACHROME RSX II 50 Professional #RSX50 RSXII50;Improved RSX (Gradation and maximum density);Agfa Gevaert AG;;Made in Germany;1998;2005;;0;AgfaRSXII50.jpg
0057;000570;AGFA AGFACHROME RSX100 Professional;;;;Made in Germany;1994;1998;;0;AgfachromeRSX100.jpg
0118;001180;AGFA AGFACHROME RSX200 Professional;;;;Made in Germany;1995;1998;;0;AgfaChromeRSX200.jpg
0089;000890;AGFA AGFACHROME RSX50 Professional;;;;Made in Germany;1994;1998;;0;AgfachromeRSX50.jpg
;;Agfa Agfaclear Display Film (EP-2);Display film;Agfa-Gevaert;;;1989;;;0;
1847;018477;AGFA Agfacolor 100;Agfa / Perutz SC 100-3;Agfa Gevaert AG;2;Made in Germany;1982;1984;;0;Agfacolor100-24+3.jpg
0498;004980;AGFA Agfacolor 100-N;;;;;;;;0;
0755;007550;AGFA Agfacolor 100-N;;;;;;;;0;
0497;004974;AGFA AgfaColor 200;;;;;1983 (1984 for dx coded version);;;0;AgfaColor200.jpg
0756;007564;AGFA AgfaColor 200;;Agfaphoto GmbH;;Made in Germany;1983 (1984 for dx coded version);1984;;0;AgfaColor200.jpg
0753;007537;AGFA Agfacolor 200 (24+3);;;;;1983 (1984 for dx coded version);1984 ?;;0;
1814;018147;AGFA AgfaColor 200 Wal-mart #Walmart;;Agfa-Gevaert AG;;Made in Germany;1983;1984 ?;;0;
0737;007370;AGFA Agfacolor 200-N;;;;;;;;0;
0756;007560;AGFA Agfacolor 200-N;;;;;;;;0;
1850;018503;AGFA Agfacolor 400;Also sold as Agfa / Perutz SC 100-3;Agfa Gevaert AG;2;Made in Germany;1983;1984;;0;Agfacolor100-24+3.jpg
0739;007390;AGFA Agfacolor 400-N;;;;;;;;0;
0757;007570;AGFA Agfacolor 400-N;;;;;;;;0;
;;AGFA Agfacolor 80S;CN-S process, Iso 80;;;;~1977;End of 80's ?;;0;Agfacolor80S.jpg
0712;007120;AGFA Agfacolor APS star 200;;;;;;;;0;
0715;007150;AGFA Agfacolor APS star 400;;;;;;;;0;
;;AGFA Agfacolor CK-P Professional CKP;;Agfa-Gevaert;;;1965;1969;;0;
;;AGFA Agfacolor CN14;;;;Made in Germany;1959;1963;;0;AgfacolorCN14.jpg
;;AGFA Agfacolor CN17 120 & sheets – 17/10° DIN;;Agfa AG;;Made in Germany;1956;1975;;0;AgfaCN17.jpg
;;AGFA Agfacolor CN17 35mm – 17/10° DIN;;Agfa Gevaert AG;;Made in Germany;1962;1975;;0;AgfaCN17.jpg
;;AGFA Agfacolor CN17 Special – CN17S ASA 40;;Agfa Gevaert AG;;Made in Germany;1966;1968;;0;
